sound_num,pitch,string,position,finger
0,66,d,1,2
0,74,a,1,3
1,67,d,1,3
1,76,a,1,4
2,69,a,1,0
2,78,e,1,1
3,71,a,1,1
3,79,e,1,2
4,73,a,1,2
4,81,e,1,3
5,74,a,1,3
5,83,e,1,4
6,76,a,3,2
6,85,e,3,3
7,78,a,4,2
7,86,e,4,3
8,78,a,4,2
8,86,e,4,3
9,76,a,3,2
9,85,e,3,3
10,74,a,1,3
10,83,e,1,4
11,73,a,1,2
11,81,e,1,3
12,71,a,1,1
12,79,e,1,2
13,69,a,1,0
13,78,e,1,1
14,67,d,1,3
14,76,a,1,4
15,66,d,1,2
15,74,a,1,3
16,65,d,1,2
16,74,a,1,3
17,67,d,1,3
17,76,a,1,4
18,69,a,1,0
18,77,e,1,1
19,70,a,1,1
19,79,e,1,2
20,73,a,1,2
20,81,e,1,3
21,74,a,1,3
21,82,e,1,4
22,76,a,3,2
22,85,e,3,3
23,77,a,3,3
23,86,e,3,4
24,77,a,3,3
24,86,e,3,4
25,76,a,3,2
25,85,e,3,3
26,74,a,1,3
26,82,e,1,4
27,73,a,1,2
27,81,e,1,3
28,70,a,1,1
28,79,e,1,2
29,69,a,1,0
29,77,e,1,1
30,67,d,1,3
30,76,a,1,4
31,65,d,1,2
31,74,a,1,3
